distinct_fullvisitorid,distinct_visitid,occurrences
12400791876753683082,1551653888,3
12400791876753683082,1552431475,3
12400791876753683082,1552604273,3
12401284826860877873,1552085228,1
12403573390798713209,1552602796,1
12407628361558968423,1551566975,1
12419520369982728122,1552344067,1
12420565116582625702,1551567329,1
12428510923267292947,1551651576,2
12428510923267292947,1552172125,2
12430129799919326648,1551999547,1
12431439428233445635,1551998955,1
1243608494314135275,1552084870,1
1243868762890930615,1551567519,1
12440576939547352859,1552344325,1
12442100283765236182,1551998663,1
12443818118502836592,1551652570,3
12443818118502836592,1552258406,3
12443818118502836592,1552170542,3
12445699846790746253,1552514807,1
12446617228915557936,1552602629,1
12449414370326888385,1552257386,1
12449457495052881044,1552602447,1
12458335023018206449,1552603937,1
12458711610595393071,1551481036,1
1246885379056837451,1552170106,1
12489504368756661367,1551910376,1
12493952888812304527,1552082824,1
12495753496052367420,1551480886,1
1249598164501923868,1551653860,1
12500188580256425777,1552171430,1
12503150195895944950,1551912524,1
1250886511580684244,1552084617,1
12509021758389185091,1552172337,1
12511159763102794840,1551996595,1
1251453386293653996,1551912250,1
12516876287419229544,1551651466,1
12518272829503622118,1551567082,1
12520704219204518883,1552170342,1
12525054828634590578,1552517261,1
12527246666264872974,1551566959,1
12527995611800200015,1551480139,1
12529840214465809122,1551480261,1
12531601402300408453,1552172332,1
12531820792667176561,1552258572,1
12533356273239135851,1551564706,1
12536065611441521142,1552431431,1
12537457056418965488,1552085854,1
12539965547987806818,1551653380,1
12540946245349992316,1552429994,2
12540946245349992316,1552172297,2
1254103793566153706,1551565676,1
12542517561128415463,1552084748,1
12548918260859210651,1551825295,1
12553193630374224445,1552168520,1
12554314735716641631,1552085191,1
12555579439555609311,1551480776,1
1255616589834300918,1552602571,1
1255755223716663255,1552084649,1
12562049494314611847,1551824937,1
12563165557330375804,1552255554,1
12563784543652405861,1551999123,1
12569261183674872755,1551565975,2
12569261183674872755,1552083372,2
12571447402279344363,1551909746,1
12575091729237183723,1552344322,1
12579854166768689243,1551651152,1
12581546874707022614,1552085804,1
12589400256293652371,1552516600,1
12590923746354704873,1551999189,1
12596039369453001775,1551565383,1
1260049382114394741,1551652644,1
12602052747522446850,1551480939,1
12607800770138165964,1552085130,1
12609093405970021904,1552172203,1
12611996766319877502,1552431402,1
12626107940186170566,1552169857,1
12628744978210083749,1552171790,1
12634035888036534431,1552340380,1
12636375600046078605,1552431014,1
12637991932744080129,1551998413,1
12638673424697145905,1551566479,2
12638673424697145905,1551999179,2
12640263263537380286,1552257914,1
12650191620758260786,1552256606,1
12654653674476683077,1552256210,1
12655527189639953212,1551823022,1
12655795375602261106,1552344020,2
12655795375602261106,1552256687,2
12666718262380478511,1551480089,1
12669615512152508517,1552603989,1
12672238721691307617,1552431038,1
12673894246246434390,1552254681,1
12674320793495053805,1551653159,1
1267548176056749534,1551653964,1
12678554854270100122,1552169806,1
12681893504720260302,1551825916,1
12686209707289924074,1552517696,1
12688339273638272478,1552085780,1
12698771297804431698,1551740352,1
12699304866641193809,1551480093,1
12709080325743091782,1551481136,1
12711185939820168720,1552255442,1
12714653244932393586,1552603252,2
12714653244932393586,1552085931,2
12717911760210437849,1552604194,1
12718128633793833204,1551567233,1
12719835714932954761,1552257979,1
12720128599035322499,1552085952,2
12720128599035322499,1551653511,2
12720879542296764645,1552169748,1
12720887229682429546,1551480707,1
12734129624971487537,1552084080,1
1273833340655404011,1552085300,1
12740039921334609860,1552345053,1
12740337168374231864,1552515641,1
12749797503856210269,1551910442,1
12754594865617099849,1552515573,1
12765391347727718622,1551653875,1
12767891645306647761,1551999328,1
12767898450967797104,1552258215,1
12768344183294959482,1552258322,1
12772312699059945465,1551566414,1
12775687946006487478,1551913132,1
12776246255538421222,1551478352,2
12776246255538421222,1552171862,2
1278525805087696789,1552516147,1
1278544497850050817,1551999145,1
12791734380456746422,1552171770,1
12793994747047929046,1552171304,1
12794048918750878070,1552602354,1
12797395786269637307,1552603927,1
12803465874194785482,1551566690,2
12803465874194785482,1551651344,2
12803588981323543248,1551653231,1
1280395237338559961,1552603688,1
12804258203422091560,1551567477,1
12812873989226972500,1552170505,1
12822594858765644869,1552517615,1
12827426736004120718,1552515865,1
12827811039836176914,1552258776,1
12841619653501616242,1552258548,1
12843093387566464491,1551653718,1
1284721751313462451,1551826411,1
1284812340523599636,1551653645,1
12848377274691835828,1551825012,1
12848946322420421786,1551653357,1
12853136840593809839,1551565585,1
12854151569631067987,1551651584,1
12857266490842506809,1551738616,1
12861490523365691062,1552343655,1
12861776265778982941,1552341349,1
12868594091069197812,1551826195,1
12869240097527977261,1552603181,1
12881238815513757083,1552171504,1
1288154933294337769,1551826033,1
12887125638662554899,1552344715,1
12887193820363757078,1551481174,1
12887301452169456020,1552604289,1
12887401495052802519,1551476694,1
12898644827780081597,1551652386,1
12899382967551654721,1551911732,1
12913962029791853456,1552431066,1
12915688107702729163,1551738083,5
12915688107702729163,1551566427,5
12915688107702729163,1552343101,5
12915688107702729163,1551481007,5
12915688107702729163,1552602173,5
12918311080684793465,1552171378,1
12920117209862714436,1552342712,1
12922639771720469508,1552600854,1
12923398813386887376,1552431263,1
12926117890627849941,1551480216,1
12933877415173809504,1551999044,1
12940231260691617363,1552170837,1
1294238105261439413,1551652571,1
12942671835119132623,1552172330,1
12945978079304240862,1551996528,1
1294765942751439532,1552514505,1
12950991141820966886,1551740216,1
12954006968538077697,1552084762,1
12958167697197163926,1552603941,1
12959795813172192676,1552258245,1
12960120134180069044,1551567465,1
1297076487566398078,1552164917,1
12972069882076729130,1552257498,2
12972069882076729130,1552344283,2
12972924545291061124,1552603340,1
12984162893421892391,1551738843,1
12985449876571208228,1552085607,1
12987623989553201612,1551740391,1
12992553783012392969,1552603718,1
12993856553099751901,1552517856,1
12993891241695834553,1552599186,1
12994800830465862654,1551480595,1
12997504834864742555,1551998699,1
12999046607833287025,1551738538,1
13002405600626516638,1551825500,1
13023497671811519307,1551824852,1
13028230728663542963,1551653988,1
13036217261803797092,1551998096,1
13039806123058087180,1552085431,1
1303985500351113496,1551740029,1
1304696012411536408,1552085293,1
1304999181344123361,1551653232,1
13050062968785686049,1551481134,1
13052319488543933607,1552430931,1
13061302228890230856,1551564813,1
